Time,Thrust (N),Thrust (lbf),N2O Mass Flow Rate (kg/s),N2O Mass (kg),Ethanol Mass Flow Rate (kg/s),Ethanol Mass (kg),TWR,OFR,N2O Pressure (psi),Ethanol Pressure (psi),Nitrous Phase
0,0,0,0.16481,6.2,0.4431,1.6,0,0.37195,900.3192,900.3192,liquid
0.01,919.86283,206.8037,0.85324,6.1915,0.4431,1.5956,1.8755,1.9256,899.9475,899.1174,liquid
0.02,1909.8419,429.3709,0.90465,6.1824,0.45107,1.5911,3.8949,2.0055,899.5534,897.8973,liquid
0.03,2016.4634,453.3416,0.92746,6.1731,0.43576,1.5867,4.1135,2.1284,899.1494,896.7217,liquid
0.04,2100.0053,472.1235,0.94337,6.1637,0.41876,1.5825,4.2851,2.2528,898.7384,895.5949,liquid
0.05,2166.3746,487.0447,0.95443,6.1542,0.40022,1.5785,4.4217,2.3848,898.3226,894.5206,liquid
0.06,2197.0307,493.9368,0.95955,6.1446,0.3819,1.5747,4.4855,2.5126,897.9046,893.4979,liquid
0.07,2206.5873,496.0853,0.95938,6.135,0.36333,1.5711,4.5062,2.6405,897.4867,892.5271,liquid
0.08,2209.2341,496.6803,0.95416,6.1254,0.34528,1.5676,4.5128,2.7634,897.071,891.6064,liquid
0.09,2195.9775,493.7,0.94333,6.116,0.32626,1.5643,4.4868,2.8913,896.66,890.7382,liquid
0.1,2156.5793,484.8425,0.92885,6.1067,0.30907,1.5613,4.4074,3.0054,896.2554,889.9174,liquid
0.11,2143.0595,481.8029,0.93277,6.0974,0.31262,1.5581,4.3809,2.9837,895.849,889.0886,liquid
0.12,2148.7956,483.0925,0.93158,6.0881,0.31153,1.555,4.3937,2.9904,895.4432,888.2643,liquid
0.13,2147.0012,482.6891,0.93182,6.0788,0.31193,1.5519,4.3911,2.9873,895.0373,887.4404,liquid
0.14,2147.2945,482.7551,0.93155,6.0694,0.31187,1.5488,4.3928,2.987,894.6315,886.6182,liquid
0.15,2146.8181,482.6479,0.9314,6.0601,0.31196,1.5457,4.3929,2.9856,894.2257,885.7973,liquid
0.16,2146.5193,482.5808,0.9312,6.0508,0.312,1.5425,4.3934,2.9846,893.82,884.9778,liquid
0.17,2146.1286,482.4929,0.93102,6.0415,0.31206,1.5394,4.3937,2.9834,893.4144,884.1597,liquid
0.18,2145.7433,482.4063,0.93082,6.0322,0.31211,1.5363,4.394,2.9824,893.0089,883.343,liquid
0.19,2145.3391,482.3155,0.93063,6.0229,0.31215,1.5332,4.3943,2.9813,892.6035,882.5276,liquid
0.2,2144.9267,482.2227,0.93043,6.0136,0.3122,1.53,4.3945,2.9803,892.1982,881.7137,liquid
0.21,2144.5043,482.1278,0.93023,6.0043,0.31224,1.5269,4.3948,2.9793,891.793,880.9011,liquid
0.22,2144.0733,482.0309,0.93004,5.995,0.31227,1.5238,4.395,2.9783,891.3878,880.0899,liquid
0.23,2143.6338,481.9321,0.92984,5.9857,0.31231,1.5207,4.3952,2.9773,890.9827,879.2802,liquid
0.24,2143.1861,481.8314,0.92965,5.9764,0.31234,1.5176,4.3954,2.9764,890.5777,878.4718,liquid
0.25,2142.7304,481.729,0.92945,5.9671,0.31236,1.5144,4.3955,2.9756,890.1728,877.6649,liquid
0.26,2142.2667,481.6247,0.92926,5.9578,0.31239,1.5113,4.3957,2.9747,889.768,876.8594,liquid
0.27,2141.7954,481.5187,0.92906,5.9485,0.31241,1.5082,4.3958,2.9739,889.3633,876.0553,liquid
0.28,2141.3164,481.4111,0.92887,5.9392,0.31243,1.5051,4.3959,2.9731,888.9586,875.2526,liquid
0.29,2140.83,481.3017,0.92867,5.9299,0.31244,1.5019,4.396,2.9723,888.5541,874.4514,liquid
0.3,2140.3362,481.1907,0.92848,5.9206,0.31245,1.4988,4.3961,2.9716,888.1496,873.6516,liquid
0.31,2139.8351,481.078,0.92829,5.9114,0.31246,1.4957,4.3962,2.9709,887.7452,872.8532,liquid
0.32,2139.327,480.9638,0.92809,5.9021,0.31247,1.4926,4.3962,2.9702,887.3409,872.0563,liquid
0.33,2138.8118,480.848,0.9279,5.8928,0.31248,1.4894,4.3963,2.9695,886.9366,871.2608,liquid
0.34,2138.2897,480.7306,0.9277,5.8835,0.31248,1.4863,4.3963,2.9689,886.5325,870.4668,liquid
0.35,2137.7608,480.6117,0.92751,5.8743,0.31248,1.4832,4.3963,2.9683,886.1284,869.6742,liquid
0.36,2137.2252,480.4913,0.92732,5.865,0.31247,1.4801,4.3963,2.9677,885.7245,868.8831,liquid
0.37,2136.6831,480.3694,0.92712,5.8557,0.31247,1.4769,4.3963,2.9671,885.3206,868.0934,liquid
0.38,2136.1344,480.246,0.92693,5.8464,0.31246,1.4738,4.3962,2.9666,884.9168,867.3052,liquid
0.39,2135.5793,480.1212,0.92674,5.8372,0.31245,1.4707,4.3962,2.9661,884.513,866.5184,liquid
0.4,2135.0179,479.995,0.92654,5.8279,0.31243,1.4676,4.3961,2.9656,884.1094,865.7331,liquid
0.41,2134.4503,479.8674,0.92635,5.8186,0.31242,1.4644,4.3961,2.9651,883.7058,864.9493,liquid
0.42,2133.8766,479.7384,0.92616,5.8094,0.3124,1.4613,4.396,2.9646,883.3024,864.1669,liquid
0.43,2133.2968,479.6081,0.92596,5.8001,0.31238,1.4582,4.3959,2.9642,882.899,863.3859,liquid
0.44,2132.7111,479.4764,0.92577,5.7909,0.31236,1.4551,4.3958,2.9638,882.4957,862.6065,liquid
0.45,2132.1195,479.3434,0.92558,5.7816,0.31233,1.4519,4.3957,2.9634,882.0925,861.8285,liquid
0.46,2131.5222,479.2091,0.92539,5.7724,0.31231,1.4488,4.3955,2.9631,881.6893,861.052,liquid
0.47,2130.9191,479.0735,0.92519,5.7631,0.31228,1.4457,4.3954,2.9627,881.2863,860.2769,liquid
0.48,2130.3104,478.9367,0.925,5.7539,0.31225,1.4426,4.3952,2.9624,880.8833,859.5034,liquid
0.49,2129.6962,478.7986,0.92481,5.7446,0.31221,1.4395,4.3951,2.9621,880.4804,858.7312,liquid
0.5,2129.0765,478.6593,0.92462,5.7354,0.31218,1.4363,4.3949,2.9618,880.0776,857.9606,liquid
0.51,2128.4514,478.5188,0.92442,5.7261,0.31214,1.4332,4.3947,2.9616,879.6749,857.1915,liquid
